document_id,filename,table_name,field_name,target_table,target_field,relationship_type,evidence,page
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 2.,9
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 9.,10
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 5.,10
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 2.,11
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 2.,11
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxDesc,,cross_reference,This field cross-references with AxDesc.Code where Type_ = 1.,12
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxDesc,,cross_reference,This field cross-references with AxDesc.Code where Type_ = 2.,12
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxDesc,,cross_reference,This field cross-references with AxDesc.Code where Type_ = 4.,12
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 8.,13
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 2.,14
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 1.,15
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 2.,15
qa_database_schema_axioma_v1_1_6_2022_11_07,QA Database Schema - Axioma v1.1.6 (2022-11-07).pdf,,This,AxCode,,cross_reference,This field cross-references with AxCode.Code where Type_ = 2.,15
